hust_imaging_id,cell_name,input_reconstruction_batch_id,swc_path,swc_node_identifier,coordinate_type_id,x_coordinate,y_coordinate,z_coordinate,batch_id,created_at,structure_label,hemisphere,surround
1,AA0902,202205111930_upload_registered_reconstructions,AA0902.swc,1,ccf_ASL_micron,4748.683594,2378.595704,6730.374999,202205111937_upload_soma_locations,5/11/2022 19:37,cing,right,"{""structures"": [{""cing"": 0.603}, {""MOs6b"": 0.201}, {""MOs6a"": 0.172}, {""ccb"": 0.021}, {""ACAd6b"": 0.003}]}"
1,AA0903,202205111930_upload_registered_reconstructions,AA0903.swc,1,ccf_ASL_micron,4339.405149,2424.709461,6613.122589,202205111937_upload_soma_locations,5/11/2022 19:37,ACAd6a,right,"{""structures"": [{""ACAd6a"": 0.9}, {""MOs6a"": 0.1}]}"
1,AA0904,202205111930_upload_registered_reconstructions,AA0904.swc,1,ccf_ASL_micron,6733.762345,5260.141906,4576.409855,202205111937_upload_soma_locations,5/11/2022 19:37,ZI,left,"{""structures"": [{""ZI"": 0.591}, {""VM"": 0.4}, {""TH"": 0.008}]}"
1,AA0905,202205111930_upload_registered_reconstructions,AA0905.swc,1,ccf_ASL_micron,3250.181397,2478.262394,6957.015539,202205111937_upload_soma_locations,5/11/2022 19:37,MOs5,right,"{""structures"": [{""MOs5"": 0.699}, {""MOs6a"": 0.301}]}"
1,AA0906,202205111930_upload_registered_reconstructions,AA0906.swc,1,ccf_ASL_micron,3538.558103,2315.291581,6947.867027,202205111937_upload_soma_locations,5/11/2022 19:37,MOs5,right,"{""structures"": [{""MOs5"": 0.93}, {""MOs6a"": 0.07}]}"
1,AA0907,202205111930_upload_registered_reconstructions,AA0907.swc,1,ccf_ASL_micron,3323.079681,2268.30425,7018.062805,202205111937_upload_soma_locations,5/11/2022 19:37,MOs5,right,"{""structures"": [{""MOs5"": 1.0}]}"
1,AA0908,202205111930_upload_registered_reconstructions,AA0908.swc,1,ccf_ASL_micron,3310.767568,2633.202668,6909.489835,202205111937_upload_soma_locations,5/11/2022 19:37,MOs6a,right,"{""structures"": [{""MOs6a"": 1.0}]}"
1,AA0909,202205111930_upload_registered_reconstructions,AA0909.swc,1,ccf_ASL_micron,8143.541883,2153.581665,8125.634955,202205111937_upload_soma_locations,5/11/2022 19:37,CA1,right,"{""structures"": [{""CA1"": 1.0}]}"
1,AA0910,202205111930_upload_registered_reconstructions,AA0910.swc,1,ccf_ASL_micron,8020.311254,1812.6903,7947.626096,202205111937_upload_soma_locations,5/11/2022 19:37,CA1,right,"{""structures"": [{""CA1"": 1.0}]}"
1,AA0911,202205111930_upload_registered_reconstructions,AA0911.swc,1,ccf_ASL_micron,2861.36914,2821.09375,7005.257813,202205111937_upload_soma_locations,5/11/2022 19:37,FRP6a,right,"{""structures"": [{""FRP6a"": 0.773}, {""MOs6a"": 0.224}, {""MOs5"": 0.003}]}"
1,AA0912,202205111930_upload_registered_reconstructions,AA0912.swc,1,ccf_ASL_micron,8931.584163,2463.172499,7960.296957,202205111937_upload_soma_locations,5/11/2022 19:37,POST,right,"{""structures"": [{""POST"": 0.743}, {""SUB"": 0.257}]}"
1,AA0913,202205111930_upload_registered_reconstructions,AA0913.swc,1,ccf_ASL_micron,4093.594693,1914.203035,6685.426039,202205111937_upload_soma_locations,5/11/2022 19:37,MOs5,right,"{""structures"": [{""MOs5"": 0.999}, {""MOs6a"": 0.001}]}"
1,AA0914,202205111930_upload_registered_reconstructions,AA0914.swc,1,ccf_ASL_micron,2886.963215,1819.014496,6450.476035,202205111937_upload_soma_locations,5/11/2022 19:37,MOs2/3,right,"{""structures"": [{""MOs2/3"": 0.964}, {""MOs1"": 0.036}]}"
1,AA0915,202205111930_upload_registered_reconstructions,AA0915.swc,1,ccf_ASL_micron,2890.321769,1981.214156,6164.82005,202205111937_upload_soma_locations,5/11/2022 19:37,MOs2/3,right,"{""structures"": [{""MOs2/3"": 0.956}, {""MOs5"": 0.018}, {""MOs1"": 0.015}, {""ACAd2/3"": 0.012}]}"
1,AA0916,202205111930_upload_registered_reconstructions,AA0916.swc,1,ccf_ASL_micron,3051.304119,1765.557012,6432.272802,202205111937_upload_soma_locations,5/11/2022 19:37,MOs2/3,right,"{""structures"": [{""MOs2/3"": 1.0}]}"
1,AA0917,202205111930_upload_registered_reconstructions,AA0917.swc,1,ccf_ASL_micron,7022.904374,6114.846214,4704.020145,202205111937_upload_soma_locations,5/11/2022 19:37,LHA,left,"{""structures"": [{""LHA"": 1.0}]}"
1,AA0918,202205111930_upload_registered_reconstructions,AA0918.swc,1,ccf_ASL_micron,5983.241092,3827.125985,4771.753125,202205111937_upload_soma_locations,5/11/2022 19:37,AV,left,"{""structures"": [{""AV"": 1.0}]}"
1,AA0919,202205111930_upload_registered_reconstructions,AA0919.swc,1,ccf_ASL_micron,7886.987974,2119.719176,9764.894566,202205111937_upload_soma_locations,5/11/2022 19:37,AUDd5,right,"{""structures"": [{""AUDd5"": 0.686}, {""AUDd4"": 0.314}]}"
